# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 495, mean track length: 2.6020202020202019
22 -4.3728468494978552 -0.98108080816845622 15.423313971894624 189 159 130 0.092752778278801754 82 2052 8 45
23 -3.6035408485078659 -1.0163178023076596 15.585412481183843 122 86 64 0.075604837137044661 82 2056 8 49
24 -0.1550245315219802 -0.77056024259139133 15.771557793984147 86 62 52 0.45139654781939498 82 2062 8 55
25 0.95278270399897558 -0.54167206345402075 15.76437570504825 99 83 67 1.2477086878974475 82 2070 8 70
26 1.5123580632310878 -0.58981126128659178 15.49987694386107 115 84 63 0.044909858024870339 82 2072 8 74
27 -5.1957925430121348 -0.33621825449818304 15.515237699556149 84 66 36 0.16954691192110222 82 2075 8 59
28 -5.1957925430121348 -0.33621825449818304 15.515237699556149 84 66 36 0.16954691192110222 82 2076 8 60
29 -4.3197549259105079 -0.33940015284513786 15.914105722297236 72 51 32 0.19514559132810808 82 2078 8 65
60 -4.6096424033073875 3.4743121047896235 17.302129035374179 119 93 79 0.07085239400933438 82 2201 8 180
61 -4.6656586963942983 3.599007567124934 17.244726171033907 57 38 24 0.25330928113260509 82 2211 8 181
62 0.98551923270138631 3.7499999005536186 17.294261468975499 71 55 42 0.11792183937603853 82 2215 8 192
63 -5.4593751590999995 3.983490250276799 17.218193546593803 119 79 44 0.24856042281371762 82 2220 8 202
64 -3.824209250632566 4.1413293061506486 17.669404917963114 19 5 0 0.071855193945737 82 2224 8 204
65 1.1472929821240871 4.2593574063190562 17.36649568583157 109 81 59 0.32611655052853428 82 2232 8 212
66 -4.8252066242162117 4.4356860176776083 17.513459280717161 37 20 10 0.056611833197509794 82 2240 8 203
67 -4.6658280348974941 4.8211863253579086 17.399651355061891 121 90 67 0.30037986440558984 82 2252 8 220
68 -0.22530869292687214 5.4110759485770474 17.860400493517638 143 117 101 0.10202295460702107 82 2260 8 248
69 -6.606536760046791 5.3066415510147102 16.6418657631847 215 184 163 0.083052431727955178 82 2269 8 235
70 -6.606536760046791 5.3066415510147102 16.6418657631847 215 184 163 0.083052431727955178 82 2270 8 236
71 -5.5075551974058534 5.3864726888377179 17.01913134889951 92 66 44 0.051570179655529479 82 2275 8 238
72 -0.4169841729806717 5.7141092734559287 17.599602572125882 204 172 151 0.21481153076229503 82 2279 8 607
73 1.4819383834786726 5.7423775404612076 17.316625855359728 83 64 48 0.10631878409079112 82 2287 8 274
74 -1.837397442499227 -2.6734951680277295 14.518347731333453 93 66 47 0.0034660486774329962 82 2289 8 484
75 -2.4865717964230662 -2.5018447094636738 14.645285047233065 88 60 39 0.16156577329498284 82 2291 8 3
76 -2.1578675005539747 -2.6511824912094011 14.570712310082099 105 70 50 0.15341099084620941 82 2292 8 4
77 -0.83045888371299037 -2.5417860972736608 14.526081490208064 75 62 56 0.22043501849155014 82 2294 8 486
78 -2.7107857007343483 -2.2281179084650398 14.837188352509584 129 104 90 0.053212312832193312 82 2296 8 489
79 -3.5572384331469968 -2.1237859365529319 14.802382887428269 253 221 192 0.41573094984379022 82 2300 8 10
80 -0.041287621499000962 -2.1007331651950243 14.836331368625004 50 31 16 0.35554111074663952 82 2302 8 493
81 0.3490962541995889 -1.9567725047621465 14.827163070706959 14 11 2 0.086316563895928761 82 2303 8 19
82 -2.9730435631810996 -1.836521044412599 15.137318850840471 103 90 73 0.093951806517366648 82 2305 8 496
83 -3.8027115618987315 -1.5342841653248551 15.184415425169632 247 223 201 0.067433314281508366 82 2307 8 501
84 -2.4235710481759196 -1.5536183317698127 15.385303528249546 134 117 101 0.031349681080064584 82 2308 8 35
85 -0.40003221944537648 -1.5073470498727122 15.308000532569288 81 72 63 0.048406741595983752 82 2310 8 40
86 0.10207413168475098 -1.5439553469636191 15.280955007357578 25 18 12 0.1531995541858871 82 2311 8 41
87 -3.9110603346810708 -1.4066569797177748 15.263038174693554 234 208 185 0.12867330920665399 82 2316 8 502
88 -3.5346710880341567 -1.4248156854584546 15.306404038396696 170 145 115 0.062322521249700266 82 2317 8 33
89 0.39005248049721564 -1.3902347299333051 15.318335670942629 19 10 3 0.11419327940258023 82 2320 8 42
90 -4.6170534048349063 -1.0268607955638422 15.278923544507141 229 195 160 0.043625338422584349 82 2321 8 44
91 -4.1534326180298375 -1.042162333678927 15.450949667860206 209 165 124 0.093676956907261993 82 2322 8 509
92 -3.8908400100379832 -1.1462165091914973 15.439564239456725 195 171 150 0.10688096891373489 82 2324 8 30
93 -3.8908400100379832 -1.1462165091914973 15.439564239456725 195 171 150 0.10688096891373489 82 2325 8 31
94 -3.0737380508141006 -1.1303616858758851 15.556021827471886 164 127 118 0.1014937337281871 82 2326 8 510
95 1.0439118442757067 -1.1033497853624059 15.293456238964932 90 64 47 0.1710492398486935 82 2328 8 506
96 -4.2270755601953329 -0.92916693398726535 15.48814422811947 211 174 130 0.045228898817030919 82 2329 8 47
97 -4.0621109610517205 -0.71524262854235254 15.674736318789739 35 14 2 0.079464813760273825 82 2331 8 48
98 -4.766498508952691 -0.60528064084969158 15.540683726424371 214 172 123 0.10364454908300612 82 2332 8 515
99 -4.8294129948272246 -0.50526499223856569 15.554689480701612 213 170 127 0.05032443195007745 82 2333 8 516
100 1.1291901950452576 -0.55267356498419495 15.591037964618314 128 110 98 0.062418681349837482 82 2335 8 68
101 -4.8893378407130204 -0.34943240049196489 15.563385465377175 213 171 120 0.25876871948639202 82 2336 8 62
102 0.83578919192010825 -0.26121497324847043 15.82171094277143 67 53 44 0.21830426066381267 82 2338 8 72
103 0.83578919192010825 -0.26121497324847043 15.82171094277143 67 53 44 0.21830426066381267 82 2339 8 73
104 1.4923663050264924 -0.14261663920431328 15.743765652070129 145 119 96 0.13845406619263748 82 2340 8 524
105 1.349553412679376 0.039480729953697988 15.900377449064459 50 32 18 0.8476029116613748 82 2343 8 84
106 -4.7760592336460492 0.35352093445663868 16.052843096053525 84 41 9 0.1285636360466248 82 2345 8 527
